# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio	Similarity		Partner Class	Partner Family
259	PEAKS039234_BHLHA15_pwm.binary	Vdr	NR1H4.H12CORE.1.P.B	250.933763	16.461763	256.164954	1.020847	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
260	PEAKS039234_BHLHA15_pwm.binary	Hnf4a	RXRA.H12CORE.0.PS.A	250.933763	14.307455	164.172756	0.654247	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
261	PEAKS039234_BHLHA15_pwm.binary	Hnf4g	RXRA.H12CORE.1.S.C	250.933763	14.655843	167.929239	0.669217	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
262	PEAKS039234_BHLHA15_pwm.binary	Nr2c1	RXRA.H12CORE.2.SM.B	250.933763	7.803503	157.725872	0.628556	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
263	PEAKS039234_BHLHA15_pwm.binary	Nr2c1	RXRA.H12CORE.3.P.B	250.933763	4.841690	147.769090	0.588877	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
264	PEAKS039234_BHLHA15_pwm.binary	Nr2c2	RXRB.H12CORE.0.P.C	250.933763	8.995320	159.805976	0.636845	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
265	PEAKS039234_BHLHA15_pwm.binary	Nr2c2	RXRB.H12CORE.1.SM.B	250.933763	5.264903	155.031885	0.617820	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
266	PEAKS039234_BHLHA15_pwm.binary	Nr2e1	RXRB.H12CORE.2.PS.A	250.933763	26.572888	220.077379	0.877034	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
267	PEAKS039234_BHLHA15_pwm.binary	Nr2e1	RXRG.H12CORE.0.P.B	250.933763	5.612656	155.220695	0.618572	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
268	PEAKS039234_BHLHA15_pwm.binary	Nr2f1	RXRG.H12CORE.1.SM.B	250.933763	13.981805	184.478839	0.735169	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
269	PEAKS039234_BHLHA15_pwm.binary	Nr2f1	RXRG.H12CORE.2.P.B	250.933763	5.639577	149.651661	0.596379	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
270	PEAKS039234_BHLHA15_pwm.binary	Nr2f2	HNF4A.H12CORE.0.PSM.A	250.933763	4.667418	160.353095	0.639026	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
271	PEAKS039234_BHLHA15_pwm.binary	Nr2f2	HNF4G.H12CORE.0.P.B	250.933763	9.164874	156.158927	0.622311	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
272	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2E1.H12CORE.0.SM.B	250.933763	6.055441	157.832440	0.628980	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
273	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2E1.H12CORE.1.S.B	250.933763	11.868249	177.153415	0.705977	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
274	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2C1.H12CORE.0.S.C	250.933763	6.331334	157.746457	0.628638	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
275	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2C1.H12CORE.1.PM.A	250.933763	10.507168	158.548962	0.631836	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
276	PEAKS039234_BHLHA15_pwm.binary	Rxra	NR2C2.H12CORE.0.SM.B	250.933763	32.867385	286.479928	1.141656	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
277	PEAKS039234_BHLHA15_pwm.binary	Rxra	NR2C2.H12CORE.1.PS.A	250.933763	7.766289	140.514511	0.559967	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
278	PEAKS039234_BHLHA15_pwm.binary	Rxra	COT1.H12CORE.0.PSM.A	250.933763	4.630443	146.785703	0.584958	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
279	PEAKS039234_BHLHA15_pwm.binary	Rxra	COT1.H12CORE.1.PSM.A	250.933763	3.746131	175.597111	0.699775	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
280	PEAKS039234_BHLHA15_pwm.binary	Rxrb	COT2.H12CORE.0.P.B	250.933763	8.753238	134.973458	0.537885	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
281	PEAKS039234_BHLHA15_pwm.binary	Rxrb	COT2.H12CORE.1.P.B	250.933763	4.905922	148.260919	0.590837	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
282	PEAKS039234_BHLHA15_pwm.binary	Rxrb	NR2F6.H12CORE.0.P.C	250.933763	13.387922	154.536460	0.615846	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
283	PEAKS039234_BHLHA15_pwm.binary	Rxrg	NR2F6.H12CORE.1.PSM.A	250.933763	9.751345	254.395276	1.013795	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
284	PEAKS039234_BHLHA15_pwm.binary	Rxrg	NR2F6.H12CORE.2.SM.B	250.933763	5.439577	156.138493	0.622230	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
285	PEAKS039234_BHLHA15_pwm.binary	Rxrg	NR2F6.H12CORE.3.SM.B	250.933763	1.107080	173.666736	0.692082	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
286	PEAKS039234_BHLHA15_pwm.binary	Nr4a2	NR4A2.H12CORE.0.SM.B	250.933763	16.124397	233.231896	0.929456	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	NGFI (NR4A) {2.1.4}
287	PEAKS039234_BHLHA15_pwm.binary	Nr5a1	STF1.H12CORE.0.PSM.A	250.933763	2.887750	227.541954	0.906781	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	FTZF1-related (NR5A) {2.1.5}
288	PEAKS039234_BHLHA15_pwm.binary	Nr5a2	NR5A2.H12CORE.0.PSM.A	250.933763	2.294553	242.226627	0.965301	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	FTZF1-related (NR5A) {2.1.5}
289	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.0.P.C	250.933763	1.841307	182.824783	0.728578	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
290	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.1.P.C	250.933763	4.329512	208.094323	0.829280	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
291	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.2.SM.B	250.933763	3.425009	160.326894	0.638921	1.000000		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
292	PEAKS039234_BHLHA15_pwm.binary	Gata1	GATA1.H12CORE.0.P.B	250.933763	25.548212	169.390820	0.675042	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
293	PEAKS039234_BHLHA15_pwm.binary	Gata1	GATA1.H12CORE.1.PSM.A	250.933763	42.361173	210.335299	0.838210	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
294	PEAKS039234_BHLHA15_pwm.binary	Gata2	GATA2.H12CORE.0.PSM.A	250.933763	39.181337	198.778569	0.792156	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
295	PEAKS039234_BHLHA15_pwm.binary	Gata2	GATA2.H12CORE.1.P.B	250.933763	21.859190	174.265242	0.694467	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
296	PEAKS039234_BHLHA15_pwm.binary	Gata3	GATA3.H12CORE.0.PS.A	250.933763	48.984866	248.077606	0.988618	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
297	PEAKS039234_BHLHA15_pwm.binary	Gata3	GATA3.H12CORE.1.SM.B	250.933763	23.123473	174.455078	0.695224	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
298	PEAKS039234_BHLHA15_pwm.binary	Gata4	GATA4.H12CORE.0.PSM.A	250.933763	54.722567	263.024285	1.048182	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
299	PEAKS039234_BHLHA15_pwm.binary	Gata5	GATA5.H12CORE.0.SM.B	250.933763	36.725663	194.570424	0.775386	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
300	PEAKS039234_BHLHA15_pwm.binary	Gata6	GATA6.H12CORE.0.PSM.A	250.933763	27.914119	188.240204	0.750159	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
301	PEAKS039234_BHLHA15_pwm.binary	Trps1	TRPS1.H12CORE.0.P.B	250.933763	64.532796	368.635833	1.469056	1.000000		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
302	PEAKS039234_BHLHA15_pwm.binary	Egr1	SP1.H12CORE.0.P.B	250.933763	4.488830	178.738209	0.712292	1.000000		C2H2 zinc finger factors {2.3}	EGR {2.3.1.3}
303	PEAKS039234_BHLHA15_pwm.binary	Egr2	SP1.H12CORE.1.SM.B	250.933763	5.019684	156.642134	0.624237	1.000000		C2H2 zinc finger factors {2.3}	EGR {2.3.1.3}
304	PEAKS039234_BHLHA15_pwm.binary	Egr3	SP1.H12CORE.2.P.B	250.933763	5.409884	179.818989	0.716599	1.000000		C2H2 zinc finger factors {2.3}	EGR {2.3.1.3}
305	PEAKS039234_BHLHA15_pwm.binary	Egr4	SP2.H12CORE.0.P.D	250.933763	18.118820	173.762341	0.692463	1.000000		C2H2 zinc finger factors {2.3}	EGR {2.3.1.3}
306	PEAKS039234_BHLHA15_pwm.binary	Klf1	SP2.H12CORE.1.P.B	250.933763	13.790086	170.380208	0.678985	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
307	PEAKS039234_BHLHA15_pwm.binary	Klf10	SP3.H12CORE.0.P.B	250.933763	7.166998	177.545566	0.707540	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
308	PEAKS039234_BHLHA15_pwm.binary	Klf10	SP3.H12CORE.1.S.B	250.933763	0.916318	155.093961	0.618067	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
309	PEAKS039234_BHLHA15_pwm.binary	Klf11	SP4.H12CORE.0.P.C	250.933763	8.833608	166.933440	0.665249	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
310	PEAKS039234_BHLHA15_pwm.binary	Klf11	SP4.H12CORE.1.S.B	250.933763	1.689401	153.143113	0.610293	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
311	PEAKS039234_BHLHA15_pwm.binary	Klf12	SP4.H12CORE.2.P.B	250.933763	5.866679	170.240738	0.678429	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
312	PEAKS039234_BHLHA15_pwm.binary	Klf12	SP5.H12CORE.0.P.B	250.933763	5.317009	180.782230	0.720438	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
313	PEAKS039234_BHLHA15_pwm.binary	Klf13	SP5.H12CORE.1.P.B	250.933763	6.541608	174.309781	0.694645	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
314	PEAKS039234_BHLHA15_pwm.binary	Klf13	SP7.H12CORE.0.P.B	250.933763	4.312730	155.075329	0.617993	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
315	PEAKS039234_BHLHA15_pwm.binary	Klf14	SP8.H12CORE.0.SM.B	250.933763	5.887480	175.002899	0.697407	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
316	PEAKS039234_BHLHA15_pwm.binary	Klf14	SP9.H12CORE.0.P.B	250.933763	2.890956	166.015905	0.661593	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
317	PEAKS039234_BHLHA15_pwm.binary	Klf15	SP9.H12CORE.1.S.C	250.933763	3.093071	165.592250	0.659904	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
318	PEAKS039234_BHLHA15_pwm.binary	Klf15	KLF1.H12CORE.0.P.B	250.933763	1.184319	154.285427	0.614845	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
319	PEAKS039234_BHLHA15_pwm.binary	Klf16	KLF10.H12CORE.0.P.C	250.933763	10.635309	190.790865	0.760324	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
320	PEAKS039234_BHLHA15_pwm.binary	Klf16	KLF10.H12CORE.1.PSM.A	250.933763	2.667164	155.112404	0.618141	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
321	PEAKS039234_BHLHA15_pwm.binary	Klf17	KLF11.H12CORE.0.P.B	250.933763	5.488845	176.469770	0.703252	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
322	PEAKS039234_BHLHA15_pwm.binary	Klf17	KLF11.H12CORE.1.SM.B	250.933763	9.360363	209.842788	0.836248	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
323	PEAKS039234_BHLHA15_pwm.binary	Klf2	KLF12.H12CORE.0.P.C	250.933763	7.693877	199.405208	0.794653	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
324	PEAKS039234_BHLHA15_pwm.binary	Klf3	KLF12.H12CORE.1.PSM.A	250.933763	6.109020	161.180101	0.642321	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
325	PEAKS039234_BHLHA15_pwm.binary	Klf3	KLF13.H12CORE.0.PSM.A	250.933763	6.445951	178.630775	0.711864	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
326	PEAKS039234_BHLHA15_pwm.binary	Klf4	KLF13.H12CORE.1.P.C	250.933763	8.441153	185.009407	0.737284	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
327	PEAKS039234_BHLHA15_pwm.binary	Klf5	KLF14.H12CORE.0.PSM.A	250.933763	5.252389	168.468480	0.671366	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
328	PEAKS039234_BHLHA15_pwm.binary	Klf6	KLF14.H12CORE.1.P.C	250.933763	4.003234	164.395010	0.655133	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
329	PEAKS039234_BHLHA15_pwm.binary	Klf6	KLF15.H12CORE.0.S.B	250.933763	4.675580	175.096533	0.697780	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
330	PEAKS039234_BHLHA15_pwm.binary	Klf8	KLF15.H12CORE.1.P.C	250.933763	11.235551	181.994183	0.725268	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
331	PEAKS039234_BHLHA15_pwm.binary	Klf8	KLF16.H12CORE.0.SM.B	250.933763	1.210381	127.622920	0.508592	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
332	PEAKS039234_BHLHA15_pwm.binary	Klf9	KLF16.H12CORE.1.P.B	250.933763	8.660601	166.261187	0.662570	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
333	PEAKS039234_BHLHA15_pwm.binary	Klf9	KLF17.H12CORE.0.M.C	250.933763	1.382886	161.049988	0.641803	1.000000		C2H2 zinc finger factors {2.3}	Kr-like {2.3.1.2}
334	PEAKS039234_BHLHA15_pwm.binary	Sp1	KLF17.H12CORE.1.P.C	250.933763	10.754429	167.687314	0.668253	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
335	PEAKS039234_BHLHA15_pwm.binary	Sp1	KLF2.H12CORE.0.S.C	250.933763	9.666125	169.379525	0.674997	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
336	PEAKS039234_BHLHA15_pwm.binary	Sp1	KLF3.H12CORE.0.PS.A	250.933763	8.307881	173.434602	0.691157	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
337	PEAKS039234_BHLHA15_pwm.binary	Sp2	KLF3.H12CORE.1.M.C	250.933763	12.319861	210.368830	0.838344	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
338	PEAKS039234_BHLHA15_pwm.binary	Sp2	KLF4.H12CORE.0.PSM.A	250.933763	3.649853	163.990909	0.653523	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
339	PEAKS039234_BHLHA15_pwm.binary	Sp3	KLF5.H12CORE.0.PM.A	250.933763	9.102382	167.981966	0.669428	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
340	PEAKS039234_BHLHA15_pwm.binary	Sp3	KLF6.H12CORE.0.P.B	250.933763	10.076118	206.648448	0.823518	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
341	PEAKS039234_BHLHA15_pwm.binary	Sp4	KLF6.H12CORE.1.SM.B	250.933763	6.347034	171.293418	0.682624	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
342	PEAKS039234_BHLHA15_pwm.binary	Sp4	KLF8.H12CORE.0.P.C	250.933763	9.723932	175.671782	0.700072	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
343	PEAKS039234_BHLHA15_pwm.binary	Sp4	KLF8.H12CORE.1.P.C	250.933763	4.063492	147.219263	0.586686	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
344	PEAKS039234_BHLHA15_pwm.binary	Sp5	KLF9.H12CORE.0.P.B	250.933763	11.952618	167.373952	0.667005	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
345	PEAKS039234_BHLHA15_pwm.binary	Sp5	KLF9.H12CORE.1.P.B	250.933763	0.000000	163.478080	0.651479	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
346	PEAKS039234_BHLHA15_pwm.binary	Sp7	EGR1.H12CORE.0.PS.A	250.933763	4.824594	168.557430	0.671721	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
347	PEAKS039234_BHLHA15_pwm.binary	Sp8	EGR2.H12CORE.0.PSM.A	250.933763	7.286612	164.312176	0.654803	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
348	PEAKS039234_BHLHA15_pwm.binary	Sp9	EGR3.H12CORE.0.PSM.A	250.933763	6.614370	175.954724	0.701200	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
349	PEAKS039234_BHLHA15_pwm.binary	Sp9	EGR4.H12CORE.0.S.B	250.933763	7.510377	175.082360	0.697723	1.000000		C2H2 zinc finger factors {2.3}	Sp1-like {2.3.1.1}
350	PEAKS039234_BHLHA15_pwm.binary	Osr1	ZBT22.H12CORE.0.SM.B	250.933763	15.744892	176.416194	0.703039	1.000000		C2H2 zinc finger factors {2.3}	Other {2.3.2.4}
351	PEAKS039234_BHLHA15_pwm.binary	Zbtb22	KAISO.H12CORE.0.P.B	250.933763	6.394606	137.653773	0.548566	1.000000		C2H2 zinc finger factors {2.3}	BTB-POZ {2.3.2.1}
352	PEAKS039234_BHLHA15_pwm.binary	Zbtb33	KAISO.H12CORE.1.P.B	250.933763	4.534304	180.233125	0.718250	1.000000		C2H2 zinc finger factors {2.3}	BTB-POZ {2.3.2.1}
353	PEAKS039234_BHLHA15_pwm.binary	Zbtb33	ZBT43.H12CORE.0.S.C	250.933763	2.940851	186.433203	0.742958	1.000000		C2H2 zinc finger factors {2.3}	BTB-POZ {2.3.2.1}
354	PEAKS039234_BHLHA15_pwm.binary	Zbtb43	OSR1.H12CORE.0.SM.B	250.933763	27.650014	192.569327	0.767411	1.000000		C2H2 zinc finger factors {2.3}	BTB-POZ {2.3.2.1}
355	PEAKS039234_BHLHA15_pwm.binary	Znf580	ZN580.H12CORE.0.SM.B	250.933763	6.837341	175.313257	0.698644	1.000000		C2H2 zinc finger factors {2.3}	Other {2.3.2.4}
356	PEAKS039234_BHLHA15_pwm.binary	Znf580	ZN580.H12CORE.1.SM.B	250.933763	2.433703	169.102251	0.673892	1.000000		C2H2 zinc finger factors {2.3}	Other {2.3.2.4}
357	PEAKS039234_BHLHA15_pwm.binary	Znf740	ZN740.H12CORE.0.P.C	250.933763	5.969204	253.126129	1.008737	1.000000		C2H2 zinc finger factors {2.3}	Other {2.3.2.4}
358	PEAKS039234_BHLHA15_pwm.binary	Znf740	ZN740.H12CORE.1.S.C	250.933763	1.971516	142.518576	0.567953	1.000000		C2H2 zinc finger factors {2.3}	Other {2.3.2.4}
359	PEAKS039234_BHLHA15_pwm.binary	Bcl6	MYNN.H12CORE.0.P.B	250.933763	15.245914	179.346984	0.714718	1.000000		C2H2 zinc finger factors {2.3}	BCL6 {2.3.3.22}
360	PEAKS039234_BHLHA15_pwm.binary	Bcl6b	OSR2.H12CORE.0.PSM.A	250.933763	14.848075	175.525513	0.699489	1.000000		C2H2 zinc finger factors {2.3}	BCL6 {2.3.3.22}
361	PEAKS039234_BHLHA15_pwm.binary	Ctcf	OSR2.H12CORE.1.M.C	250.933763	177.441076	254.036153	1.012363	1.000000		C2H2 zinc finger factors {2.3}	CTCF-like {2.3.3.50}
362	PEAKS039234_BHLHA15_pwm.binary	Ctcfl	PRD14.H12CORE.0.P.B	250.933763	122.180113	213.962133	0.852664	1.000000		C2H2 zinc finger factors {2.3}	CTCF-like {2.3.3.50}
363	PEAKS039234_BHLHA15_pwm.binary	Fezf1	PRDM5.H12CORE.0.P.B	250.933763	13.934843	171.126037	0.681957	1.000000		C2H2 zinc finger factors {2.3}	FEZF {2.3.3.20}
364	PEAKS039234_BHLHA15_pwm.binary	Gfi1	PRDM5.H12CORE.1.P.B	250.933763	18.654086	211.344464	0.842232	1.000000		C2H2 zinc finger factors {2.3}	GFI1 {2.3.3.21}
365	PEAKS039234_BHLHA15_pwm.binary	Gfi1b	PRDM6.H12CORE.0.P.B	250.933763	9.402722	179.009876	0.713375	1.000000		C2H2 zinc finger factors {2.3}	GFI1 {2.3.3.21}
366	PEAKS039234_BHLHA15_pwm.binary	Gfi1b	WT1.H12CORE.0.P.B	250.933763	6.271874	152.340289	0.607094	1.000000		C2H2 zinc finger factors {2.3}	GFI1 {2.3.3.21}
367	PEAKS039234_BHLHA15_pwm.binary	Gli1	WT1.H12CORE.1.P.B	250.933763	9.042741	169.337861	0.674831	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
368	PEAKS039234_BHLHA15_pwm.binary	Gli2	ZBT14.H12CORE.0.P.C	250.933763	2.213605	148.454429	0.591608	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
369	PEAKS039234_BHLHA15_pwm.binary	Gli3	ZBT14.H12CORE.1.S.B	250.933763	2.532048	148.576028	0.592093	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
370	PEAKS039234_BHLHA15_pwm.binary	Gli3	ZBT24.H12CORE.0.P.B	250.933763	2.544004	166.036015	0.661673	1.876860		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
371	PEAKS039234_BHLHA15_pwm.binary	Glis1	ZBT44.H12CORE.0.P.C	250.933763	7.497516	164.318144	0.654827	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
372	PEAKS039234_BHLHA15_pwm.binary	Glis1	TZAP.H12CORE.0.P.B	250.933763	9.930614	168.208740	0.670331	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
373	PEAKS039234_BHLHA15_pwm.binary	Glis1	ZBT49.H12CORE.0.P.C	250.933763	4.036912	141.777190	0.564998	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
374	PEAKS039234_BHLHA15_pwm.binary	Glis2	ZFP1.H12CORE.0.PSM.A	250.933763	3.301850	154.153601	0.614320	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
375	PEAKS039234_BHLHA15_pwm.binary	Glis3	ZN205.H12CORE.0.P.C	250.933763	9.732012	169.590785	0.675839	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
376	PEAKS039234_BHLHA15_pwm.binary	Glis3	ZN184.H12CORE.0.P.B	250.933763	4.070057	171.328948	0.682766	1.000000		C2H2 zinc finger factors {2.3}	GLI-lile {2.3.3.1}
377	PEAKS039234_BHLHA15_pwm.binary	Mtf1	ZFP28.H12CORE.0.P.B	250.933763	18.041560	174.604156	0.695818	1.000000		C2H2 zinc finger factors {2.3}	MTF1-like {2.3.3.24}
378	PEAKS039234_BHLHA15_pwm.binary	Mynn	ZFP3.H12CORE.0.P.C	250.933763	11.013946	167.859832	0.668941	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
379	PEAKS039234_BHLHA15_pwm.binary	Osr2	ZFP41.H12CORE.0.SM.B	250.933763	25.997801	193.814368	0.772373	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
380	PEAKS039234_BHLHA15_pwm.binary	Osr2	ZF64B.H12CORE.0.P.B	250.933763	6.190689	168.886441	0.673032	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
381	PEAKS039234_BHLHA15_pwm.binary	Ovol1	ZF64B.H12CORE.1.P.B	250.933763	7.782481	169.619049	0.675951	1.000000		C2H2 zinc finger factors {2.3}	OVOL {2.3.3.17}
382	PEAKS039234_BHLHA15_pwm.binary	Ovol2	ZFP90.H12CORE.0.P.C	250.933763	8.074445	179.370546	0.714812	1.000000		C2H2 zinc finger factors {2.3}	OVOL {2.3.3.17}
383	PEAKS039234_BHLHA15_pwm.binary	Prdm1	ZFP90.H12CORE.1.P.C	250.933763	9.343886	176.913217	0.705020	1.000000		C2H2 zinc finger factors {2.3}	PRDM1-like {2.3.3.12}
384	PEAKS039234_BHLHA15_pwm.binary	Prdm1	ZNF18.H12CORE.0.P.B	250.933763	7.454856	177.418326	0.707033	1.000000		C2H2 zinc finger factors {2.3}	PRDM1-like {2.3.3.12}
385	PEAKS039234_BHLHA15_pwm.binary	Prdm14	ZN239.H12CORE.0.P.C	250.933763	13.792725	170.864151	0.680913	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
386	PEAKS039234_BHLHA15_pwm.binary	Prdm5	ZN250.H12CORE.0.P.C	250.933763	16.627817	178.586371	0.711687	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
387	PEAKS039234_BHLHA15_pwm.binary	Prdm5	ZN250.H12CORE.1.M.C	250.933763	31.426631	216.104224	0.861200	1.000000		C2H2 zinc finger factors {2.3}	Unclassified {2.3.3.0}
