# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio		Partner Class	Partner Family
133	PEAKS039234_BHLHA15_pwm.binary	Ptf1a	PTF1A.H12CORE.1.PS.A	7.557501	7.676141	7.917181	1.031401		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
134	PEAKS039234_BHLHA15_pwm.binary	Tal1	TAL1.H12CORE.0.P.B	7.557501	2.012351	7.195089	0.952046		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
135	PEAKS039234_BHLHA15_pwm.binary	Tal1	TAL1.H12CORE.1.P.B	7.557501	3.618979	6.991952	0.925167		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
136	PEAKS039234_BHLHA15_pwm.binary	Tal1	TAL1.H12CORE.2.P.B	7.557501	5.920592	7.528208	0.996124		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
137	PEAKS039234_BHLHA15_pwm.binary	Tcf21	TCF21.H12CORE.0.PS.A	7.557501	7.718983	8.041486	1.041780		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
138	PEAKS039234_BHLHA15_pwm.binary	Tcf21	TCF21.H12CORE.1.SM.B	7.557501	6.832817	8.866065	1.173148		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
139	PEAKS039234_BHLHA15_pwm.binary	Twist1	TWST1.H12CORE.0.P.B	7.557501	5.135595	7.730256	1.022859		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
140	PEAKS039234_BHLHA15_pwm.binary	Twist1	TWST1.H12CORE.1.P.B	7.557501	6.719983	8.064025	1.067023		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
141	PEAKS039234_BHLHA15_pwm.binary	Twist2	TWST2.H12CORE.0.P.B	7.557501	6.812642	8.002861	1.058930		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
142	PEAKS039234_BHLHA15_pwm.binary	Twist2	TWST2.H12CORE.1.P.B	7.557501	7.276754	7.941571	1.050820		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
143	PEAKS039234_BHLHA15_pwm.binary	Bhlhe40	BHE40.H12CORE.0.PSM.A	7.557501	1.605252	6.948585	0.919429		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
144	PEAKS039234_BHLHA15_pwm.binary	Bhlhe40	BHE40.H12CORE.1.S.C	7.557501	1.398896	6.967138	0.921884		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
145	PEAKS039234_BHLHA15_pwm.binary	Bhlhe41	BHE41.H12CORE.0.PSM.A	7.557501	1.580410	6.966395	0.921786		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
146	PEAKS039234_BHLHA15_pwm.binary	Hes1	HES1.H12CORE.0.S.C	7.557501	1.416233	6.953802	0.920119		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
147	PEAKS039234_BHLHA15_pwm.binary	Hes1	HES1.H12CORE.1.S.C	7.557501	1.481590	6.984465	0.924177		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
148	PEAKS039234_BHLHA15_pwm.binary	Hes2	HES2.H12CORE.0.S.C	7.557501	1.520751	6.947387	0.919270		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
149	PEAKS039234_BHLHA15_pwm.binary	Hes5	HES5.H12CORE.0.SM.B	7.557501	1.765180	6.994265	0.925473		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
150	PEAKS039234_BHLHA15_pwm.binary	Hes7	HES7.H12CORE.0.S.B	7.557501	1.544798	6.976060	0.923064		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
151	PEAKS039234_BHLHA15_pwm.binary	Hey1	HEY1.H12CORE.0.S.B	7.557501	1.337387	6.907874	0.914042		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
152	PEAKS039234_BHLHA15_pwm.binary	Hey2	HEY2.H12CORE.0.S.B	7.557501	1.671864	6.990727	0.925005		Basic helix-loop-helix factors (bHLH) {1.2}	Hairy-related {1.2.4}
153	PEAKS039234_BHLHA15_pwm.binary	Ahr	AHR.H12CORE.0.P.B	7.557501	1.210192	6.955903	0.920397		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
154	PEAKS039234_BHLHA15_pwm.binary	Ahrr	AHRR.H12CORE.0.P.C	7.557501	1.966147	7.062750	0.934535		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
155	PEAKS039234_BHLHA15_pwm.binary	Arnt	ARNT.H12CORE.0.P.B	7.557501	1.508306	6.991074	0.925051		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
156	PEAKS039234_BHLHA15_pwm.binary	Arnt	ARNT.H12CORE.1.P.B	7.557501	1.133017	6.923833	0.916154		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
157	PEAKS039234_BHLHA15_pwm.binary	Arnt2	ARNT2.H12CORE.0.P.B	7.557501	2.088360	6.978882	0.923438		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
158	PEAKS039234_BHLHA15_pwm.binary	Arnt2	ARNT2.H12CORE.1.P.B	7.557501	1.312885	6.888335	0.911457		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
159	PEAKS039234_BHLHA15_pwm.binary	Arnt2	ARNT2.H12CORE.2.S.C	7.557501	1.601848	7.005705	0.926987		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
160	PEAKS039234_BHLHA15_pwm.binary	Arntl	BMAL1.H12CORE.0.PSM.A	7.557501	1.551636	7.057913	0.933895		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
161	PEAKS039234_BHLHA15_pwm.binary	Clock	CLOCK.H12CORE.0.M.C	7.557501	1.332896	7.078301	0.936593		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
162	PEAKS039234_BHLHA15_pwm.binary	Clock	CLOCK.H12CORE.1.PS.A	7.557501	1.588656	7.015459	0.928278		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
163	PEAKS039234_BHLHA15_pwm.binary	Epas1	EPAS1.H12CORE.0.P.B	7.557501	1.587958	6.999371	0.926149		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
164	PEAKS039234_BHLHA15_pwm.binary	Hif1a	HIF1A.H12CORE.0.P.B	7.557501	1.630465	7.057110	0.933789		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
165	PEAKS039234_BHLHA15_pwm.binary	Hif1a	HIF1A.H12CORE.1.P.B	7.557501	1.367580	6.978209	0.923349		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
166	PEAKS039234_BHLHA15_pwm.binary	Hif3a	HIF3A.H12CORE.0.P.C	7.557501	1.202540	6.920068	0.915656		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
167	PEAKS039234_BHLHA15_pwm.binary	Hif3a	HIF3A.H12CORE.1.P.C	7.557501	1.278368	6.993780	0.925409		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
168	PEAKS039234_BHLHA15_pwm.binary	Npas2	NPAS2.H12CORE.0.M.B	7.557501	2.245224	7.398347	0.978941		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
169	PEAKS039234_BHLHA15_pwm.binary	Npas2	NPAS2.H12CORE.1.M.C	7.557501	1.595773	7.046567	0.932394		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
170	PEAKS039234_BHLHA15_pwm.binary	Npas2	NPAS2.H12CORE.2.S.B	7.557501	1.433148	6.989858	0.924890		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
171	PEAKS039234_BHLHA15_pwm.binary	Npas3	NPAS3.H12CORE.0.P.C	7.557501	1.574716	6.963061	0.921344		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
172	PEAKS039234_BHLHA15_pwm.binary	Npas4	NPAS4.H12CORE.0.P.B	7.557501	1.552533	7.012790	0.927924		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
173	PEAKS039234_BHLHA15_pwm.binary	Sohlh2	SOLH2.H12CORE.0.S.C	7.557501	1.548610	6.980827	0.923695		Basic helix-loop-helix factors (bHLH) {1.2}	PAS {1.2.5}
174	PEAKS039234_BHLHA15_pwm.binary	Max	MAX.H12CORE.0.PS.A	7.557501	1.464878	7.005788	0.926998		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
175	PEAKS039234_BHLHA15_pwm.binary	Max	MAX.H12CORE.1.M.C	7.557501	1.482464	7.109637	0.940739		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
176	PEAKS039234_BHLHA15_pwm.binary	Max	MAX.H12CORE.2.S.C	7.557501	1.444564	7.004976	0.926890		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
177	PEAKS039234_BHLHA15_pwm.binary	Mga	MGAP.H12CORE.0.P.C	7.557501	1.823093	7.043504	0.931988		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
178	PEAKS039234_BHLHA15_pwm.binary	Mga	MGAP.H12CORE.1.S.B	7.557501	1.819693	7.138422	0.944548		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
179	PEAKS039234_BHLHA15_pwm.binary	Mitf	MITF.H12CORE.0.P.B	7.557501	1.796637	6.996002	0.925703		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
180	PEAKS039234_BHLHA15_pwm.binary	Mlx	MLX.H12CORE.0.PM.A	7.557501	1.793527	7.156114	0.946889		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
181	PEAKS039234_BHLHA15_pwm.binary	Mlx	MLX.H12CORE.1.SM.B	7.557501	1.368367	7.049957	0.932842		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
182	PEAKS039234_BHLHA15_pwm.binary	Mlxipl	MLXPL.H12CORE.0.S.B	7.557501	1.374775	6.973564	0.922734		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
183	PEAKS039234_BHLHA15_pwm.binary	Mnt	MNT.H12CORE.0.PS.A	7.557501	1.370634	7.016587	0.928427		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
184	PEAKS039234_BHLHA15_pwm.binary	Mxd4	MAD4.H12CORE.0.P.C	7.557501	1.791664	7.102174	0.939752		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
185	PEAKS039234_BHLHA15_pwm.binary	Mxi1	MXI1.H12CORE.0.P.B	7.557501	1.443339	6.984332	0.924159		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
186	PEAKS039234_BHLHA15_pwm.binary	Myc	MYC.H12CORE.0.P.B	7.557501	1.441155	6.980771	0.923688		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
187	PEAKS039234_BHLHA15_pwm.binary	Mycn	MYCN.H12CORE.0.PS.A	7.557501	1.595353	6.999525	0.926169		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
188	PEAKS039234_BHLHA15_pwm.binary	Mycn	MYCN.H12CORE.1.M.C	7.557501	0.951472	6.903085	0.913408		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
189	PEAKS039234_BHLHA15_pwm.binary	Srebf1	SRBP1.H12CORE.0.P.B	7.557501	1.451793	6.986424	0.924436		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
190	PEAKS039234_BHLHA15_pwm.binary	Srebf1	SRBP1.H12CORE.1.S.C	7.557501	1.355693	6.971032	0.922399		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
191	PEAKS039234_BHLHA15_pwm.binary	Srebf2	SRBP2.H12CORE.0.S.B	7.557501	1.237055	6.982502	0.923917		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
192	PEAKS039234_BHLHA15_pwm.binary	Srebf2	SRBP2.H12CORE.1.P.B	7.557501	1.324256	7.012181	0.927844		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
193	PEAKS039234_BHLHA15_pwm.binary	Srebf2	SRBP2.H12CORE.2.M.C	7.557501	1.364726	7.020681	0.928969		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
194	PEAKS039234_BHLHA15_pwm.binary	Tfe3	TFE3.H12CORE.0.PSM.A	7.557501	1.598583	7.035545	0.930935		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
195	PEAKS039234_BHLHA15_pwm.binary	Tfeb	TFEB.H12CORE.0.SM.B	7.557501	1.634511	7.046062	0.932327		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
196	PEAKS039234_BHLHA15_pwm.binary	Tfeb	TFEB.H12CORE.1.P.C	7.557501	1.756583	7.051124	0.932997		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
197	PEAKS039234_BHLHA15_pwm.binary	Tfec	TFEC.H12CORE.0.M.B	7.557501	1.482765	7.052222	0.933142		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
198	PEAKS039234_BHLHA15_pwm.binary	Tfec	TFEC.H12CORE.1.SM.B	7.557501	1.519581	6.997030	0.925839		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
199	PEAKS039234_BHLHA15_pwm.binary	Usf1	USF1.H12CORE.0.PSM.A	7.557501	1.674605	6.985097	0.924260		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
200	PEAKS039234_BHLHA15_pwm.binary	Usf2	USF2.H12CORE.0.PSM.A	7.557501	1.617143	7.052161	0.933134		Basic helix-loop-helix factors (bHLH) {1.2}	bHLH-ZIP {1.2.6}
201	PEAKS039234_BHLHA15_pwm.binary	Tfap2a	AP2A.H12CORE.0.PSM.A	7.557501	1.116237	6.847350	0.906034		Basic helix-span-helix factors (bHSH) {1.3}	AP-2 {1.3.1}
202	PEAKS039234_BHLHA15_pwm.binary	Tfap2b	AP2B.H12CORE.0.SM.B	7.557501	1.210203	6.969845	0.922242		Basic helix-span-helix factors (bHSH) {1.3}	AP-2 {1.3.1}
203	PEAKS039234_BHLHA15_pwm.binary	Tfap2c	AP2C.H12CORE.0.PSM.A	7.557501	1.300855	6.895168	0.912361		Basic helix-span-helix factors (bHSH) {1.3}	AP-2 {1.3.1}
204	PEAKS039234_BHLHA15_pwm.binary	Tfap2e	AP2E.H12CORE.0.SM.B	7.557501	1.198572	6.860424	0.907764		Basic helix-span-helix factors (bHSH) {1.3}	AP-2 {1.3.1}
205	PEAKS039234_BHLHA15_pwm.binary	Ar	ANDR.H12CORE.0.P.B	7.557501	1.627488	7.097372	0.939116		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
206	PEAKS039234_BHLHA15_pwm.binary	Ar	ANDR.H12CORE.2.P.B	7.557501	1.260726	7.163677	0.947890		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
207	PEAKS039234_BHLHA15_pwm.binary	Esr1	ESR1.H12CORE.0.P.B	7.557501	1.355525	6.945860	0.919068		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
208	PEAKS039234_BHLHA15_pwm.binary	Esr1	ESR1.H12CORE.1.P.B	7.557501	1.639178	6.977914	0.923310		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
209	PEAKS039234_BHLHA15_pwm.binary	Esr2	ESR2.H12CORE.0.P.B	7.557501	1.243315	6.929444	0.916896		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
210	PEAKS039234_BHLHA15_pwm.binary	Esrra	ERR1.H12CORE.0.PSM.A	7.557501	1.662597	7.072058	0.935767		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
211	PEAKS039234_BHLHA15_pwm.binary	Esrrb	ERR2.H12CORE.0.PSM.A	7.557501	1.634064	7.076017	0.936291		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
212	PEAKS039234_BHLHA15_pwm.binary	Esrrg	ERR3.H12CORE.0.PSM.A	7.557501	1.589987	7.032873	0.930582		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
213	PEAKS039234_BHLHA15_pwm.binary	Nr3c1	GCR.H12CORE.0.PS.A	7.557501	1.686187	7.090333	0.938185		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
214	PEAKS039234_BHLHA15_pwm.binary	Nr3c1	GCR.H12CORE.1.S.B	7.557501	2.373219	7.272911	0.962343		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
215	PEAKS039234_BHLHA15_pwm.binary	Nr3c2	MCR.H12CORE.0.S.B	7.557501	1.754855	7.099277	0.939368		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
216	PEAKS039234_BHLHA15_pwm.binary	Nr3c2	MCR.H12CORE.1.SM.B	7.557501	2.275780	7.273452	0.962415		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
217	PEAKS039234_BHLHA15_pwm.binary	Pgr	PRGR.H12CORE.0.P.B	7.557501	1.785925	7.124868	0.942755		Nuclear receptors with C4 zinc fingers {2.1}	Steroid hormone receptors {2.1.1}
218	PEAKS039234_BHLHA15_pwm.binary	Nr1d1	NR1D1.H12CORE.0.P.B	7.557501	1.562523	6.882903	0.910738		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
219	PEAKS039234_BHLHA15_pwm.binary	Nr1d1	NR1D1.H12CORE.1.SM.B	7.557501	1.467353	7.071853	0.935740		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
220	PEAKS039234_BHLHA15_pwm.binary	Nr1d2	NR1D2.H12CORE.0.P.B	7.557501	1.287213	6.880524	0.910423		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
221	PEAKS039234_BHLHA15_pwm.binary	Nr1d2	NR1D2.H12CORE.1.SM.B	7.557501	1.413102	6.970933	0.922386		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
222	PEAKS039234_BHLHA15_pwm.binary	Nr1h2	NR1H2.H12CORE.0.P.C	7.557501	1.606872	7.087672	0.937833		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
223	PEAKS039234_BHLHA15_pwm.binary	Nr1h2	NR1H2.H12CORE.1.P.C	7.557501	1.707147	7.127869	0.943152		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
224	PEAKS039234_BHLHA15_pwm.binary	Nr1h3	NR1H3.H12CORE.0.P.B	7.557501	1.771495	7.090420	0.938196		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
225	PEAKS039234_BHLHA15_pwm.binary	Nr1h3	NR1H3.H12CORE.1.P.B	7.557501	1.619154	7.070659	0.935582		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
226	PEAKS039234_BHLHA15_pwm.binary	Nr1h4	NR1H4.H12CORE.0.P.B	7.557501	1.266066	6.876185	0.909849		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
227	PEAKS039234_BHLHA15_pwm.binary	Nr1h4	NR1H4.H12CORE.1.P.B	7.557501	1.270994	6.922225	0.915941		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
228	PEAKS039234_BHLHA15_pwm.binary	Nr1i2	NR1I2.H12CORE.0.M.C	7.557501	1.256001	7.006726	0.927122		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
229	PEAKS039234_BHLHA15_pwm.binary	Nr1i2	NR1I2.H12CORE.1.S.C	7.557501	1.336965	7.081633	0.937034		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
230	PEAKS039234_BHLHA15_pwm.binary	Nr1i3	NR1I3.H12CORE.0.P.B	7.557501	1.884595	7.142000	0.945021		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
231	PEAKS039234_BHLHA15_pwm.binary	Nr1i3	NR1I3.H12CORE.1.PSM.A	7.557501	1.413746	7.111821	0.941028		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
232	PEAKS039234_BHLHA15_pwm.binary	Nr1i3	NR1I3.H12CORE.2.M.C	7.557501	1.213575	7.020493	0.928944		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
233	PEAKS039234_BHLHA15_pwm.binary	Ppara	PPARA.H12CORE.0.P.B	7.557501	1.424194	6.950523	0.919685		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
234	PEAKS039234_BHLHA15_pwm.binary	Ppara	PPARA.H12CORE.1.P.B	7.557501	1.917707	7.133253	0.943864		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
235	PEAKS039234_BHLHA15_pwm.binary	Ppard	PPARD.H12CORE.0.PSM.A	7.557501	1.477440	6.930046	0.916976		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
236	PEAKS039234_BHLHA15_pwm.binary	Pparg	PPARG.H12CORE.0.P.B	7.557501	1.427233	6.964784	0.921572		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
237	PEAKS039234_BHLHA15_pwm.binary	Pparg	PPARG.H12CORE.1.P.B	7.557501	1.974614	7.022019	0.929146		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
238	PEAKS039234_BHLHA15_pwm.binary	Rara	RARA.H12CORE.0.PSM.A	7.557501	1.509681	6.996600	0.925782		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
239	PEAKS039234_BHLHA15_pwm.binary	Rara	RARA.H12CORE.1.P.B	7.557501	1.279159	6.918927	0.915505		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
240	PEAKS039234_BHLHA15_pwm.binary	Rara	RARA.H12CORE.2.P.B	7.557501	1.339081	6.952466	0.919943		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
241	PEAKS039234_BHLHA15_pwm.binary	Rara	RARA.H12CORE.3.P.B	7.557501	1.069912	7.010628	0.927638		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
242	PEAKS039234_BHLHA15_pwm.binary	Rarb	RARB.H12CORE.0.SM.B	7.557501	1.558934	7.037631	0.931211		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
243	PEAKS039234_BHLHA15_pwm.binary	Rarb	RARB.H12CORE.1.P.B	7.557501	1.610948	6.935725	0.917727		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
244	PEAKS039234_BHLHA15_pwm.binary	Rarg	RARG.H12CORE.0.P.B	7.557501	1.230785	6.905812	0.913769		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
245	PEAKS039234_BHLHA15_pwm.binary	Rarg	RARG.H12CORE.1.PSM.A	7.557501	1.545677	7.038278	0.931297		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
246	PEAKS039234_BHLHA15_pwm.binary	Rarg	RARG.H12CORE.2.SM.B	7.557501	1.461135	7.035456	0.930924		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
247	PEAKS039234_BHLHA15_pwm.binary	Rarg	RARG.H12CORE.3.S.B	7.557501	1.471594	7.069857	0.935476		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
248	PEAKS039234_BHLHA15_pwm.binary	Rora	RORA.H12CORE.0.P.C	7.557501	1.538968	6.938217	0.918057		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
249	PEAKS039234_BHLHA15_pwm.binary	Rorb	RORB.H12CORE.0.SM.B	7.557501	1.473418	7.006751	0.927125		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
250	PEAKS039234_BHLHA15_pwm.binary	Rorc	RORG.H12CORE.0.M.C	7.557501	1.408334	7.022681	0.929233		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
251	PEAKS039234_BHLHA15_pwm.binary	Rorc	RORG.H12CORE.1.PS.A	7.557501	1.491738	7.028521	0.930006		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
252	PEAKS039234_BHLHA15_pwm.binary	Thra	THA.H12CORE.0.P.B	7.557501	1.419180	7.013853	0.928065		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
253	PEAKS039234_BHLHA15_pwm.binary	Thra	THA.H12CORE.2.S.B	7.557501	1.458165	7.021574	0.929087		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
254	PEAKS039234_BHLHA15_pwm.binary	Thrb	THB.H12CORE.0.P.B	7.557501	1.512968	7.021865	0.929125		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
255	PEAKS039234_BHLHA15_pwm.binary	Thrb	THB.H12CORE.1.PSM.A	7.557501	1.648875	6.999443	0.926158		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
256	PEAKS039234_BHLHA15_pwm.binary	Thrb	THB.H12CORE.2.SM.B	7.557501	1.462895	7.066136	0.934983		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
257	PEAKS039234_BHLHA15_pwm.binary	Thrb	THB.H12CORE.3.S.C	7.557501	1.585486	7.083090	0.937227		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
258	PEAKS039234_BHLHA15_pwm.binary	Vdr	VDR.H12CORE.0.PS.A	7.557501	1.323543	6.919827	0.915624		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
259	PEAKS039234_BHLHA15_pwm.binary	Vdr	VDR.H12CORE.1.PS.A	7.557501	1.381994	7.137290	0.944398		Nuclear receptors with C4 zinc fingers {2.1}	Thyroid hormone receptor-related {2.1.2}
260	PEAKS039234_BHLHA15_pwm.binary	Hnf4a	HNF4A.H12CORE.0.PSM.A	7.557501	1.848159	7.158045	0.947144		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
